DATE,YEAR,MONTH_NAME,MONTHYEAR,SALES,COST_OF_SALES,QUANTITY_SOLD,SALES_PER_UNIT_PRICE,FRACTION_DAILY_GROSS_PROFIT,FRACTION_DAILY_GROSS_PROFIT_PER_UNIT,SALES_TYPE
2013-12-30,2013,Dec,Dec 2013,223937.96790,230079.62100,6827,32.80181161564,-0.02742568917,-0.027425689166,Regular
2013-12-31,2013,Dec,Dec 2013,300345.48460,306986.12050,9268,32.40672039275,-0.02210999080,-0.022109990796,Regular
2014-01-01,2014,Jan,Jan 2014,86782.46773,87986.31821,2678,32.40570116878,-0.01387204710,-0.013872047102,Regular
2014-01-02,2014,Jan,Jan 2014,200173.11680,202881.17770,6175,32.41669907692,-0.01352859437,-0.013528594365,Regular
2014-01-03,2014,Jan,Jan 2014,326906.07420,333806.29190,10084,32.41829375248,-0.02110764603,-0.021107646032,Regular
2014-01-04,2014,Jan,Jan 2014,307043.93540,313652.34830,9470,32.42280204857,-0.02152269476,-0.021522694762,Regular
2014-01-05,2014,Jan,Jan 2014,179188.88450,183083.28500,5524,32.43824846126,-0.02173349374,-0.021733493742,Regular
2014-01-06,2014,Jan,Jan 2014,306351.95090,313446.06810,9448,32.42505830864,-0.02315675542,-0.023156755422,Regular
2014-01-07,2014,Jan,Jan 2014,224020.41000,229533.97370,6911,32.41504992042,-0.02461188112,-0.024611881123,Regular
2014-01-08,2014,Jan,Jan 2014,101836.40220,99381.96752,2990,34.05899739130,0.02410174188,0.024101741882,Regular
2014-01-09,2014,Jan,Jan 2014,107804.30490,104816.45850,3159,34.12608575499,0.02771546464,0.027715464635,Regular
2014-01-10,2014,Jan,Jan 2014,144829.95670,141333.99630,4246,34.10974015544,0.02413837910,0.024138379101,Regular
2014-01-11,2014,Jan,Jan 2014,146571.48240,143179.67000,4297,34.11018906214,0.02314101177,0.023141011775,Regular
2014-01-12,2014,Jan,Jan 2014,95422.37298,93126.14724,2796,34.12817345494,0.02406380881,0.024063808815,Regular
